name_muni,producao_t,latitude,longitude,temperatura,precipitacao,umidade,vento
Bragança,960.0,-1.2000000000000008,-46.79999999999984,30.3972955,2.95550360125,65.52997350000001,2.57985525
Brasil Novo,1800.0,-3.3000000000000025,-52.69999999999992,29.86382125,3.086535685,65.26127600000001,2.28948015
Brejo Grande do Araguaia,90.0,-5.699999999999997,-48.39999999999986,30.912249749999997,2.1501613969999998,57.90629775,2.057020775
Breu Branco,726.0,-3.700000000000003,-49.39999999999987,30.928445250000003,2.4477242324999997,60.664825,1.8629194
Breves,21679.0,-1.1000000000000008,-50.59999999999989,30.733201,2.482629701,65.1048065,2.03203685
Bujaru,70550.0,-1.6000000000000012,-48.09999999999985,30.9973505,2.41333740825,62.11544175,2.326715075
Cachoeira do Piriá,2700.0,-2.0000000000000013,-46.39999999999983,30.601953,2.0878903325,63.37083125,2.802501425
Cachoeira do Arari,2054.0,-0.9000000000000006,-48.89999999999986,30.835249,3.457485554,65.44566449999999,2.804593
Cametá,157830.0,-2.3000000000000016,-49.49999999999987,30.95143425,2.637228645,63.5411145,1.86643135
Canaã dos Carajás,600.0,-6.399999999999994,-50.09999999999988,29.9731955,1.997484062,58.41536525,2.318878675
Capanema,210.0,-1.1000000000000008,-47.09999999999984,30.542227750000002,2.6639533775,64.758009,2.774174
Capitão Poço,11803.0,-2.0000000000000013,-47.19999999999984,31.06247575,1.87051107425,60.1303015,2.5713437
Castanhal,9600.0,-1.300000000000001,-47.89999999999985,30.967608249999998,2.28674808425,62.227706749999996,2.482243425
Colares,30.0,-0.9000000000000006,-48.299999999999855,,,,
Concórdia do Pará,16900.0,-1.9000000000000012,-47.99999999999985,31.25227725,2.4627608312500002,60.210936,1.919967025
Cumaru do Norte,250.0,-8.499999999999988,-51.199999999999896,30.3396935,2.401101947175,54.932485750000005,1.63954765
Curionópolis,120.0,-6.199999999999995,-49.59999999999987,30.519317,2.1244408037499998,58.45527475,2.1990152000000003
Curralinho,22950.0,-1.6000000000000012,-49.99999999999988,31.09191675,2.53524409,63.154413749999996,1.8025506999999998
Curuá,3010.0,-1.8000000000000014,-55.09999999999995,31.165300000000002,2.1375296575,62.043882499999995,1.89788755
Curuçá,1050.0,-0.7000000000000006,-47.89999999999985,29.67497775,3.230959265,69.5566635,3.72324295
Dom Eliseu,492.0,-4.200000000000002,-47.89999999999985,31.307456,1.8008811914999998,54.764497750000004,2.015889475
Eldorado do Carajás,300.0,-6.099999999999995,-49.19999999999987,30.851206750000003,2.19305643,58.596551250000005,1.9790646
Garrafão do Norte,911.0,-2.200000000000001,-47.09999999999984,30.86808125,1.80120017875,60.51305025,2.403588675
Goianésia do Pará,900.0,-4.000000000000003,-48.999999999999865,31.370957500000003,2.4174212675,56.87187900000001,1.630428975
Gurupá,3040.0,-1.1000000000000008,-51.5999999999999,30.229908000000002,2.657603295,67.76127175,1.9725905250000002
Igarapé-Açu,6721.0,-1.1000000000000008,-47.599999999999845,30.771275,2.387788436,63.346377000000004,2.64169165
Igarapé-Miri,260000.0,-2.1000000000000014,-49.099999999999866,31.159268,2.39059734,61.29455225,2.027852575
Inhangapi,16646.0,-1.500000000000001,-47.89999999999985,31.080033999999998,2.3827135889999997,61.7270135,2.4098907
Ipixuna do Pará,1208.0,-2.800000000000002,-47.89999999999985,31.655517749999998,2.12456431,56.89002575000001,1.8268985
Irituia,3356.0,-1.8000000000000014,-47.39999999999984,31.1749695,2.0903314405,60.407351999999996,2.61640575
Itaituba,140.0,-5.899999999999996,-56.49999999999997,30.61094775,3.4522758825,61.181855,1.70685285
Itupiranga,1522.0,-5.099999999999999,-49.89999999999988,30.82186125,3.1937183549999997,59.88565525,1.642679075
Jacareacanga,150.0,-7.399999999999991,-57.29999999999998,30.115016,3.314281437,60.300402749999996,1.567708775
Jacundá,300.0,-4.6000000000000005,-49.19999999999987,31.25822075,2.3528096585,58.462970500000004,1.56784185
Juruti,180.0,-2.600000000000002,-56.19999999999997,30.3301755,2.92673523,66.09277175,2.0028754
Limoeiro do Ajuru,54000.0,-1.9000000000000012,-49.49999999999987,30.460378249999998,2.921871759,65.65135175,2.2842405
Mãe do Rio,750.0,-2.0000000000000013,-47.49999999999984,31.241222,1.9966607329999997,59.503819500000006,2.5076678
Magalhães Barata,320.0,-0.8000000000000006,-47.599999999999845,30.12208875,2.9695167185,67.49260625,3.1816603
Marabá,780.0,-5.599999999999997,-49.99999999999988,30.4749065,2.5100275825000002,60.640593249999995,1.93684295
Maracanã,1597.0,-0.8000000000000006,-47.49999999999984,30.03064375,3.0490508050000003,68.04547149999999,3.256770925
Marapanim,452.0,-0.8000000000000006,-47.69999999999985,30.201599,2.83635529,67.1217025,3.1037198
Medicilândia,1950.0,-3.2000000000000024,-53.199999999999925,29.88380875,2.9419347274999996,63.618607,1.9711557
Melgaço,29400.0,-1.6000000000000012,-51.099999999999895,30.94877975,2.3715074775,62.96440525,1.726802325
Mocajuba,17400.0,-2.600000000000002,-49.49999999999987,30.9401865,2.6851342775,63.028723,1.7574581
Moju,32500.0,-2.700000000000002,-49.099999999999866,31.35298975,2.0042028925,59.64867375,1.7815694
Mojuí dos Campos,525.0,-3.1000000000000023,-54.599999999999945,30.77807775,2.3393787049999997,61.78304125,1.880704075
Monte Alegre,139.0,-1.1000000000000008,-54.39999999999994,30.07562625,2.224492405,60.2744115,2.0700084
Muaná,14500.0,-1.400000000000001,-49.29999999999987,31.294407999999997,2.855448435,62.043079,2.0806919500000003
Nova Esperança do Piriá,2500.0,-2.4000000000000017,-46.89999999999984,30.8187985,1.8093487075,60.680085,2.077980725
Nova Ipixuna,400.0,-4.999999999999999,-49.19999999999987,31.12209775,2.5582536940000002,58.785446,1.759903275
Nova Timboteua,170.0,-1.2000000000000008,-47.39999999999984,30.79196825,2.375252315,63.178410750000005,2.6461284750000003
Novo Progresso,640.0,-8.099999999999989,-55.59999999999996,30.089724999999998,2.203094650075,59.082150500000004,1.524658875
Novo Repartimento,198.0,-4.500000000000001,-50.29999999999988,30.48879775,3.5792983449999998,61.41117925,1.7150529
Óbidos,120.0,-0.2000000000000006,-55.69999999999996,30.11428075,1.8464367135000002,57.71437924999999,1.9290628
Oeiras do Pará,41600.0,-2.3000000000000016,-49.89999999999988,31.096754750000002,2.802054535,62.792196000000004,1.6865103750000001
Ourém,1000.0,-1.500000000000001,-47.09999999999984,30.8850385,2.0652004075,61.5892105,2.60455265
Ourilândia do Norte,432.0,-7.49999999999999,-51.3999999999999,30.450681,2.21066756025,57.5155725,1.590435275
Pacajá,570.0,-3.700000000000003,-50.59999999999989,30.9260365,2.901667025,61.513344000000004,1.869699425
Palestina do Pará,240.0,-5.899999999999996,-48.39999999999986,31.00032875,2.2709532812499997,56.994175,1.9090509
Paragominas,1686.0,-3.2000000000000024,-47.599999999999845,31.356164,1.9890890725,56.611106,2.51606115
Parauapebas,1440.0,-6.199999999999995,-50.499999999999886,29.39480025,2.2684053025,57.6920335,1.96631585
Peixe-Boi,158.0,-1.1000000000000008,-47.29999999999984,30.651996750000002,2.6075164625,64.2567865,2.6993656
Ponta de Pedras,12761.0,-1.1000000000000008,-49.099999999999866,31.255183000000002,3.0647475112500002,62.6717275,2.331510475
